Date;Ano;Mês;Nome_mês;Trimestre;Dia;Dia_da_Semana;Tipo_dia
22/01/2018;2018;1;janeiro;1;22;segunda-feira;DIA UTIL
23/01/2018;2018;1;janeiro;1;23;terça-feira;DIA UTIL
24/01/2018;2018;1;janeiro;1;24;quarta-feira;DIA UTIL
25/01/2018;2018;1;janeiro;1;25;quinta-feira;DIA UTIL
26/01/2018;2018;1;janeiro;1;26;sexta-feira;DIA UTIL
27/01/2018;2018;1;janeiro;1;27;sábado;FINAL DE SEMANA
28/01/2018;2018;1;janeiro;1;28;domingo;FINAL DE SEMANA
29/01/2018;2018;1;janeiro;1;29;segunda-feira;DIA UTIL
30/01/2018;2018;1;janeiro;1;30;terça-feira;DIA UTIL
31/01/2018;2018;1;janeiro;1;31;quarta-feira;DIA UTIL
01/02/2018;2018;2;fevereiro;1;1;quinta-feira;DIA UTIL
02/02/2018;2018;2;fevereiro;1;2;sexta-feira;DIA UTIL
