Date;Ano;Mês;Nome_mês;Trimestre;Dia;Dia_da_Semana;Tipo_dia
13/07/2019;2019;7;julho;3;13;sábado;FINAL DE SEMANA
14/07/2019;2019;7;julho;3;14;domingo;FINAL DE SEMANA
15/07/2019;2019;7;julho;3;15;segunda-feira;DIA UTIL
16/07/2019;2019;7;julho;3;16;terça-feira;DIA UTIL
17/07/2019;2019;7;julho;3;17;quarta-feira;DIA UTIL
18/07/2019;2019;7;julho;3;18;quinta-feira;DIA UTIL
19/07/2019;2019;7;julho;3;19;sexta-feira;DIA UTIL
20/07/2019;2019;7;julho;3;20;sábado;FINAL DE SEMANA
21/07/2019;2019;7;julho;3;21;domingo;FINAL DE SEMANA
22/07/2019;2019;7;julho;3;22;segunda-feira;DIA UTIL
23/07/2019;2019;7;julho;3;23;terça-feira;DIA UTIL
24/07/2019;2019;7;julho;3;24;quarta-feira;DIA UTIL
25/07/2019;2019;7;julho;3;25;quinta-feira;DIA UTIL
26/07/2019;2019;7;julho;3;26;sexta-feira;DIA UTIL
27/07/2019;2019;7;julho;3;27;sábado;FINAL DE SEMANA
28/07/2019;2019;7;julho;3;28;domingo;FINAL DE SEMANA
29/07/2019;2019;7;julho;3;29;segunda-feira;DIA UTIL
30/07/2019;2019;7;julho;3;30;terça-feira;DIA UTIL
31/07/2019;2019;7;julho;3;31;quarta-feira;DIA UTIL
01/08/2019;2019;8;agosto;3;1;quinta-feira;DIA UTIL
02/08/2019;2019;8;agosto;3;2;sexta-feira;DIA UTIL
03/08/2019;2019;8;agosto;3;3;sábado;FINAL DE SEMANA
04/08/2019;2019;8;agosto;3;4;domingo;FINAL DE SEMANA
05/08/2019;2019;8;agosto;3;5;segunda-feira;DIA UTIL
06/08/2019;2019;8;agosto;3;6;terça-feira;DIA UTIL
07/08/2019;2019;8;agosto;3;7;quarta-feira;DIA UTIL
08/08/2019;2019;8;agosto;3;8;quinta-feira;DIA UTIL
09/08/2019;2019;8;agosto;3;9;sexta-feira;DIA UTIL
10/08/2019;2019;8;agosto;3;10;sábado;FINAL DE SEMANA
11/08/2019;2019;8;agosto;3;11;domingo;FINAL DE SEMANA
12/08/2019;2019;8;agosto;3;12;segunda-feira;DIA UTIL
13/08/2019;2019;8;agosto;3;13;terça-feira;DIA UTIL
14/08/2019;2019;8;agosto;3;14;quarta-feira;DIA UTIL
15/08/2019;2019;8;agosto;3;15;quinta-feira;DIA UTIL
16/08/2019;2019;8;agosto;3;16;sexta-feira;DIA UTIL
